ElectronicStove-11-29-12-Data4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N50,N51,N52
9.14,0,7.1836,11.9771,0,1.84435,0,11.9771,35.9312,96.5561,182.136,363.375,436.784,735.936,983.946,1218.43,1372.17,1429.47,1542.64,1684.52,1656.54,1469.54,1420.56,1337.92,1126.32,999.134,936.687,839.392,702.602,628.598,706.904,677.156,559.242,391.279,312.311,441.591,364.935,315.273,278.512,246.36,232.994,213.833,179.746,113.223,119.861,112.677,116.172,79.6953,110.833,88.0739,13.8214,83.8394,46.8035
9.47,11.2411,10.1194,11.2411,0,0,0,5.62054,35.9915,64.6487,141.647,254.096,400.772,563.325,818.467,1032.15,1182.72,1254.74,1398.65,1373.9,1249.07,1477.3,1348.06,1167.08,1047.91,995.073,977.064,783.081,727.455,716.756,628.503,667.885,385.069,376.626,407.564,259.691,320.396,250.706,220.348,264.745,184.381,206.309,200.096,138.333,121.409,71.9453,106.815,113.003,139.984,63.527,43.2882,32.0471,49.4632
9.82,10.5513,26.3782,5.27564,5.27564,6.3228,0,0,34.8004,50.1012,91.7802,159.287,177.764,435.615,544.339,747.861,780.581,1186.67,1328.03,1283.81,1378.76,1196.21,1137.06,997.801,1051.64,1004.16,887.082,784.328,798.552,623.925,637.131,554.826,494.233,349.17,410.87,297.456,385.047,318.598,293.267,243.166,273.212,188.24,177.238,197.229,148.725,102.331,88.604,121.831,122.878,65.9281,59.6053,92.3063,42.2051
10.2,4.92575,8.32187,14.7773,13.2476,13.7995,9.85151,8.32187,9.85151,43.3541,42.3763,96.9854,172.312,274.687,435.155,673.921,745.585,835.604,978.358,1039.47,982.484,1131.51,1051.02,1144.18,971.954,999.431,862.058,758.332,683.557,630.052,585.505,517.578,507.086,474.776,343.221,300.33,238.251,336.303,223.563,243.387,272.179,190.097,171.672,125.136,149.035,160.931,79.7008,109.255,119.996,114.181,92.0597,66.4532,65.9013
10.6,4.6299,15.3275,4.6299,10.6976,19.3274,13.8897,10.6976,18.5196,18.5196,18.5196,62.4342,77.7617,214.904,290.459,426.025,564.289,735.421,968.467,939.211,1036.58,964.916,945.773,863.87,772.791,761.111,753.069,681.061,655.844,586.495,544.332,391.235,480.502,424.413,341.705,350.787,269.064,222.943,271.627,243.844,186.356,267.804,190.986,129.046,133.812,97.719,101.719,87.0215,122.306,87.8293,83.3772,80.9538,73.9396
10.9,15.902,27.4512,8.70555,17.4111,16.6516,4.35277,23.0984,15.902,18.7457,30.4694,190.763,80.4341,176.021,300.548,335.186,512.315,534.838,697.577,687.731,841.073,847.51,807.392,780.874,805.494,803.184,752.089,624.524,706.118,487.348,496.064,454.21,410.672,402.92,328.174,280.303,273.097,233.912,214.242,186.216,209.899,207.621,150.469,151.219,136.261,132.667,89.8893,81.7687,70.2195,105.791,104.272,63.0231,70.9691
11.3,6.04008,15.1511,8.20445,24.6133,0,16.9245,15.1511,13.7289,15.1511,12.3067,28.7156,92.1868,80.5602,129.045,232.405,294.681,445.947,488.783,576.334,710.654,665.921,637.495,650.894,751.49,595.112,649.308,513.645,574.992,531.125,481.797,430.054,352.236,340.547,323.005,409.027,286.187,236.054,217.871,192.187,190.085,211.605,195.813,147.227,114.76,85.5292,95.3824,78.6224,106.431,67.5734,67.0578,59.8846,55.2668
11.8,18.8491,13.8881,11.6011,21.6221,6.154,45.9183,19.3352,0,33.2232,33.2232,30.9362,28.8701,28.3841,101.372,202.091,270.77,292.878,408.988,458.653,554.333,589.943,491.975,549.107,512.282,516.149,555.261,440.708,451.382,401.817,416.435,368.859,331.891,336.829,266.637,282.857,222.663,207.416,211.769,169.619,194.479,181.22,134.473,89.2844,154.538,110.2,106.432,76.8546,74.7884,99.1836,81.2076,49.2993,75.2745
12.2,18.2326,16.0761,14.769,8.78301,16.259,11.1225,14.5861,14.5861,8.96594,16.259,26.0745,34.3087,41.7846,48.8948,123.838,132.281,262.131,357.947,375.173,400.097,481.209,458.991,503.206,461.54,389.89,438.51,332.944,363.449,340.538,298.936,336.617,263.987,268.091,275.475,212.688,205.094,197.5,207.708,210.897,169.57,126.661,143.221,100.129,126.203,98.822,124.805,84.4188,49.0777,63.7289,62.3568,58.5273,34.4916
12.6,10.3394,12.0685,13.613,10.3394,3.27357,17.0712,0,22.4079,10.1665,23.9524,16.7136,13.7977,37.7382,29.3009,65.1489,84.2832,164.578,176.473,299.002,277.643,357.961,366.744,323.991,293.677,321.744,314.171,284.709,341.593,250.578,297.1,250.071,264.191,171.482,220.598,185.799,197.51,150.619,170.272,142.366,139.427,135.795,106.691,89.4352,133.744,92.7087,87.8908,108.051,77.3785,76.6869,47.9047,49.8067,25.6815
13.1,19.5862,11.4197,22.6735,16.1448,16.1448,22.8394,29.3793,33.9162,13.0575,22.8506,19.4092,29.1911,12.8804,46.9736,45.5129,85.7808,81.598,147.804,145.989,231.028,248.789,254.045,258.604,267.855,325.529,252.252,234.647,267.49,211.807,245.027,185.327,210.922,153.049,137.645,182.063,138.177,80.5357,108.808,164.114,82.6935,85.792,139.637,90.8712,81.5868,35.9081,85.792,62.9414,73.2656,40.4449,84.1654,47.3277,65.6746
13.6,28.9651,28.9651,27.9532,21.7786,31.0405,17.7953,27.7857,16.9508,18.5238,15.4365,22.958,15.604,22.958,33.5667,31.0405,70.9492,96.8858,116.53,97.723,130.787,166.823,181.196,184.618,169.684,176.085,185.179,184.116,196.625,188.834,172.772,157.845,139.095,145.889,149.646,102.273,104.742,110.691,129.441,88.7446,98.5675,65.954,97.5556,61.5199,52.935,47.4889,56.2412,54.3333,46.9279,44.4589,36.9889,56.4733,44.8453
